year,month,month_year,lpg_invoice_total,lpg_credit_notes,net_lpg_invoiced,payment_refs_allocated,payment_dates,payment_total_allocated,difference,month_status,review_required,notes
2018,December,2018-12,9000.02,0.0,9000.02,4904,2019-01-21,6556.68,2443.34,PARTIALLY_SETTLED,False,Underpaid. R2443.34 remaining unpaid.
2019,January,2019-01,22450.12,-3143.35,19306.77,—,—,0.0,19306.77,UNPAID,False,No payment allocated.
2019,February,2019-02,11597.41,-1500.0,10097.41,5437,2019-04-24,9925.0,172.41,PARTIALLY_SETTLED,False,Underpaid. R172.41 remaining unpaid.
2019,March,2019-03,9925.01,-5550.03,4374.98,—,—,0.0,4374.98,UNPAID,False,No payment allocated.
2019,April,2019-04,13504.86,0.0,13504.86,5436,2019-05-06,13504.86,0.0,FULLY_SETTLED,False,Settled in full.
2019,May,2019-05,8710.63,0.0,8710.63,5618,2019-06-20,8625.0,85.63,PARTIALLY_SETTLED,False,Underpaid. R85.63 remaining unpaid.
2019,June,2019-06,12750.0,0.0,12750.0,5804,2019-07-04,12750.0,0.0,FULLY_SETTLED,False,Settled in full.
2019,July,2019-07,14981.01,0.0,14981.01,5876,2019-08-06,14429.0,552.01,PARTIALLY_SETTLED,False,Underpaid. R552.01 remaining unpaid.
2019,August,2019-08,13874.99,0.0,13874.99,5988,2019-09-04,13874.99,0.0,FULLY_SETTLED,False,Settled in full.
2019,September,2019-09,13874.98,-552.0,13322.98,6104,2019-10-21,13874.98,-552.0,OVERPAID,False,Overpaid by R552.00.
2019,October,2019-10,10874.96,0.0,10874.96,6316,2019-12-09,10874.96,-0.0,FULLY_SETTLED,False,Settled in full.
2019,November,2019-11,14789.92,-1874.99,12914.93,6376,2019-12-27,12914.93,0.0,FULLY_SETTLED,False,Settled in full.
2019,December,2019-12,12731.05,0.0,12731.05,6423,2020-01-17,12715.0,16.05,PARTIALLY_SETTLED,False,Underpaid. R16.05 remaining unpaid.
2020,January,2020-01,15302.89,0.0,15302.89,6685,2020-03-03,15302.8,0.09,PARTIALLY_SETTLED,False,Underpaid. R0.09 remaining unpaid.
2020,February,2020-02,11250.03,0.0,11250.03,—,—,0.0,11250.03,UNPAID,False,No payment allocated.
2020,March,2020-03,10125.03,0.0,10125.03,—,—,0.0,10125.03,UNPAID,False,No payment allocated.
2021,March,2021-03,12518.2,0.0,12518.2,8420,2021-04-09,12518.2,0.0,FULLY_SETTLED,False,Settled in full.
