"ENTRY","PERIOD","ACCNO","DOCNO","STOCKNO","DESCRIPTION","CATEGORY","GROUP","BRAND","ORDERNO","DATE","QTY","RETAIL","COST","REF","REP","USER","LOCATION","CONTRACT","COMMS","LINECOMMS","TAXCODE","LINETAX","PROJNO","DEPARTMENT","SRETAIL1","SRETAIL2","SRETAIL3","SRETAIL4","SRETAIL5","SRETAIL6","REP","NAME","STOCKNOENT","STOCKBAR","SUPSTOCKNO","SUPREF"
"Crd Note",1,"FAM000","00003278","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012419","01/03/2022",-2.00,300.0000,301.0000,"","001","SHIREL","01","",0.0000,0.0000,1,90.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","FAMILY GAS","","","",""
"Crd Note",1,"INC001","00003281","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012361","01/03/2022",-1.00,300.0000,301.0000,"INV 12358","001","SHIREL","01","",0.0000,0.0000,1,45.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","BOSS DLAMINI","","","",""
"Crd Note",1,"PUM001","00003288","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012437","02/03/2022",-2.00,300.0000,301.0000,"","001","SHIREL","01","",0.0000,0.0000,1,90.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","PUMA ENERGY","","","",""
"Invoice",1,"NT0001","00012449","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","","03/03/2022",1.00,300.0000,301.0000,"","001","REBECCA","01","",0.0000,0.0000,1,45.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","NTOZONKE NEW","","","",""
"Crd Note",1,"NT0001","00003290","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012449","03/03/2022",-1.00,300.0000,301.0000,"","001","SHIREL","01","",0.0000,0.0000,1,45.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","NTOZONKE NEW","","","",""
"Invoice",1,"WO0001","00012465","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","","04/03/2022",7.00,300.0000,301.0000,"","001","REBECCA","01","",0.0000,0.0000,1,315.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","L3 CASH AND CARRY","","","",""
"Crd Note",1,"WO0001","00003295","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012465","05/03/2022",-7.00,300.0000,301.0000,"","001","SHIREL","01","",0.0000,0.0000,1,315.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","L3 CASH AND CARRY","","","",""
"Invoice",1,"SIY001","00012474","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","","05/03/2022",2.00,300.0000,301.0000,"","001","REBECCA","01","",0.0000,0.0000,1,90.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","SIYABONGA TRADING","","","",""
"Invoice",1,"INC001","00012488","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","","07/03/2022",1.00,300.0000,301.0000,"","001","REBECCA","01","",0.0000,0.0000,1,45.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","BOSS DLAMINI","","","",""
"Crd Note",1,"INC001","00003305","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012488","09/03/2022",-1.00,300.0000,301.0000,"","001","SHIREL","01","",0.0000,0.0000,1,45.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","BOSS DLAMINI","","","",""
"Invoice",1,"BU0003","00012519","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","","10/03/2022",5.00,300.0000,301.0000,"","002","SHIREL","01","",0.0000,0.0000,1,225.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"DELIVERY","IMPENDLE WHOLESALE","","","",""
"Crd Note",1,"BU0003","00003307","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012519","10/03/2022",-5.00,300.0000,301.0000,"","002","SHIREL","01","",0.0000,0.0000,1,225.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"DELIVERY","IMPENDLE WHOLESALE","","","",""
"Invoice",1,"TOP000","00012599","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","","15/03/2022",10.00,300.0000,301.1154,"","001","REBECCA","01","",0.0000,0.0000,1,450.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","TOPS SUPERMARKET","","","",""
"Invoice",1,"TH0001","00012610","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","","16/03/2022",6.00,300.0000,301.0894,"","002","SHIREL","01","",0.0000,0.0000,1,270.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"DELIVERY","THUTHUKA GENERAL DEALER","","","",""
"Crd Note",1,"TOP000","00003330","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012599","16/03/2022",-5.00,300.0000,301.0894,"","001","SHIREL","01","",0.0000,0.0000,1,225.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","TOPS SUPERMARKET","","","",""
"Crd Note",1,"TOP000","00003336","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012599","17/03/2022",-2.00,300.0000,301.0894,"","001","SHIREL","01","",0.0000,0.0000,1,90.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","TOPS SUPERMARKET","","","",""
"Crd Note",1,"GL0001","00003345","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","00012684","25/03/2022",-2.00,300.0000,302.6631,"","001","SHIREL","01","",0.0000,0.0000,1,90.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","GLORIA BULWER","","","",""
"Invoice",1,"JUS001","00012740","14.1","14KG CYLINDER DEPOSIT","CYL","CYL","","","29/03/2022",10.00,300.0000,301.6645,"","001","REBECCA","01","",0.0000,0.0000,1,450.00,"","",300.0000,300.0000,300.0000,300.0000,300.0000,300.0000,"COUNTER SALES","JUST GAS - COD","","","",""
"Invoice",1,"TOP000","00012414","14.3","14KG LPG REFILL","14K","LPG","","","01/03/2022",10.00,304.3500,268.6520,"","002","SHIREL","01","",0.0000,0.0000,1,456.52,"","",263.8452,256.2365,252.4322,247.3597,239.7510,237.2148,"DELIVERY","TOPS SUPERMARKET","","","",""
"Invoice",1,"BU0002","00012416","14.3","14KG LPG REFILL","14K","LPG","","","01/03/2022",3.00,304.3500,268.6520,"","002","SHIREL","01","",0.0000,0.0000,1,136.96,"","",263.8452,256.2365,252.4322,247.3597,239.7510,237.2148,"DELIVERY","BULWER CASH STORE","","","",""
"Invoice",1,"BU0030","00012417","14.3","14KG LPG REFILL","14K","LPG","","","01/03/2022",3.00,326.0900,268.6520,"","002","SHIREL","01","",0.0000,0.0000,1,146.74,"","",263.8452,256.2365,252.4322,247.3597,239.7510,237.2148,"DELIVERY","SIBA MARKET","","","",""
